id,description,genre
0,"Маленькое дерево и величественная птица, два естественных заклятых врага Долины, волшебно обмениваясь местами и отправляясь на приключение всей своей жизни, чтобы поменяться. Их путешествие вскоре обнаружит большую угрозу, которая может поставить под угрозу не только их вид, но и всю долину, которую они называют домом.",2
1,"Препятствовав предыдущему замыслу Боузера жениться на принцессе Пич, Марио и Луиджи теперь сталкиваются с новой угрозой в Боузере-младшем, который преисполнен решимости освободить своего отца из плена и восстановить семейное наследие.",0
2,"Грустная женщина, которая тянет свои силы на сольное приключение в австралийской дикой природе, запутана в извращённой игре с хитрым убийцей, который думает, что она добыча.",2
3,"Молодая женщина с Среднего Запада получает больше, чем она ожидала, когда она переехала в Нью-Йорк, чтобы стать писателем и в конечном итоге становится ассистентом тиранического главного редактора крупного модного журнала.",2
4,"Два коллеги застряли на необитаемом острове, единственном выжившем после авиакатастрофы, на острове они должны преодолеть прошлые обиды и работать вместе, чтобы выжить, но в конечном итоге это битва завещания и умов, чтобы выжить.",2
5,"Учительница науки Райланд Грейс просыпается на космическом корабле световые годы из дома, не помня о том, кто он, и о том, как он туда попал. Когда его память возвращается, он начинает раскрывать свою миссию: разгадывать загадку загадочного вещества, приводящего солнце к смерти. Он должен призвать свои научные знания и неортодоксальные идеи, чтобы спасти все на Земле от вымирания.",2
6,"Любимые поклонники, к которым теперь присоединился сам Джонни Кейдж, противостоят друг другу в конечной, бесповоротной битве, чтобы победить тёмное правление Шао Кана, которое угрожает самому существованию Земного реализма и его защитников.",0
7,"После того, как Грейс выжила после нападения семьи Ле-Домас, она обнаружила, что шейх достиг следующего уровня ночной игры — и на этот раз, когда ее сестра-сестра Фейт с ней. У Грейс есть один шанс выжить, сохранить свою сестру в живых и получить высокое место в Совете, которое контролирует мир. Четыре соперничающие семьи охотятся за ней за троном, и тот, кто выиграет, будет править всем этим.",0
8,"История Майкла Джексона, одного из самых влиятельных художников в мире, и его жизнь выходит за рамки музыки. Его путешествие от открытия его выдающегося таланта как лидера ""Джексон пятерки"", к провидцу, чей творческий амбиций подтолкнул к неустанному стремлению стать самым большим артистом в мире, высветив как его жизнь за пределами сцены, так и некоторые из самых культовых представлений из его ранней сольной карьеры.",2
9,"После разрушительной войны против ЗРД и потери их старшего сына Джейк Салли и Нейтири сталкиваются с новой угрозой для Пандоры: народ Эш, насильственное и гнетущее властью племя Нави, возглавляемое безжалостным Варангом.",0
10,"Маленький козел с большими мечтами получает один раз в жизни, чтобы присоединиться к профи и играть в рычание, высокоинтенсивный, сообщный, полный контакт спорта, в котором доминируют самые быстрые, самые жестокие животные в мире.",1
11,"Женщина отвечает на объявление о том, что она хочет стать домохозяйкой в таинственном нью-йоркском высочестве, не зная, что она входит в сообщество, которое за последние годы стало свидетелем нескольких исчезновений и может находиться под контролем сатанинской секты.",2
12,"Легенда MMA Паттона Джеймса, теперь коммерческого рыбака, затащили обратно в клетку, когда его брат в опасности.",0
13,"Аватар Аанг, последний во всем мире, узнает о древней власти, которая может спасти его культуру от исчезновения. С помощью своих друзей он начинает глобальный поиск, прежде чем она попадет в неправильные руки и угрожает поднять мир, ради которого они пожертвовали всем.",2
14,"Призыв в тихий пригородный дом развязывает немыслимую бойню, когда два офицера по ошибке стреляют в мужчину и его ребенка, превращая трагедию в яростное, неумолимое падение в неизвестное.",0
15,"Человек, живущий в изгнании на отдаленном острове, спасает молодую девушку от бури, испускающей цепь событий, которые заставляют его выйти из изоляции, чтобы защитить ее от врагов, связанных с его прошлым.",2
16,"После того, как мы раскрыли крупнейшее дело в истории Зотопии, новички-полицейские Джуди Хоппс и Ник Уайлд оказались на скручивающем следе большой загадки, когда Гэри Де Снейк прибыл и перевернул животный метрополис вверх дном.",1
17,"Счастливая обручальная пара испытывается, когда неожиданный поворот отбрасывает свадебную неделю с рельсов.",2
18,"Группа охотников отправляется на загадочный остров, чтобы выследить легендарное лесистое существо.",0
19,"Боец MMA Wededup Коул Янг, не зная о своем наследии, охотился на лучшего воина императора Шанга Цуна, Суб-Зеро, ищет и тренирует величайших чемпионов Земли, готовясь противостоять врагам внешнего мира в битве за вселенную.",0
20,"Эскадрилья капитана Джордана Райта в отпуске на свадьбу в Мексике встречает кровавый картель, который пытается привести выживших к безопасности, война вспыхивает между его командой и картелем, вынуждая его сражаться, чтобы спасти своих людей.",0
21,"Один год в чуму плотоядных, изменяющих разум червей, ночной город Ашленд, Огайо, принял власть паразитов. Под руководством мэра, подобного культу Джошуа, ревнивые Ранкеры распространяли свое пророчество - путем убеждения или силой. Трио незараженных женщин цепляются за выживание, вымываясь, экстремальная гигиена и уклоняясь. Но все в конце концов ломаются, развязывая предательство, святотатство и ужасы тела.",2
22,"Уилл Рэдфорд - главный аналитик национальной безопасности, который отслеживает потенциальные угрозы с помощью программы массового наблюдения, пока однажды нападение неизвестного образования не заставит его задуматься, скрывает ли правительство что-то от него... и от остального мира.",2
23,"Когда неуловимый вор, чьи кражи на высоком уровне разворачиваются вдоль иконы 101 шоссе в Лос-Анджелесе, смотрит на счёт жизни, надеясь, что это будет его последняя работа, его путь сходится с разочарованным страховым брокером, который стоит перед своим собственным перекрестком, преисполненный решимости раскрыть дело, неустанный детектив закрывает операцию, повышая ставки еще выше.",0
24,"Находясь в цивилизации майя, когда идиллическое присутствие мужчины жестоко нарушается насильственной силой вторжения, он отправляется в опасное путешествие в мир, управляемый страхом и угнетением, где его ждет ужасный конец, через поворот судьбы и под влиянием силы его любви к своей женщине и своей семье, он сделает отчаянный прорыв, чтобы вернуться домой и, в конечном счете, спасти свой образ жизни.",2
25,"Обнаружив безопасность бункера Гренландии после того, как комета Кларк уничтожила Землю, семья Гаррити теперь должна рисковать всем, чтобы совершить опасное путешествие через пустыню Европы, чтобы найти новый дом.",0
26,"Ксандер Кейдж - ваш обычный адреналин-наркоман, без страха и паршивого отношения. Когда правительство США ""приказывает"" ему отправиться на миссию, он не очень взволнован. Его миссия - собрать информацию об организации, которая, возможно, планирует уничтожение мира под руководством нигилистического иорджи.",0
27,"Ник делает внеземное открытие, которое он решит исцелить свою жену от неизлечимой болезни.",2
28,"Когда новый убийца-призрак появляется в тихом городе, где Сидни Прескотт построил новую жизнь, ее самые мрачные страхи становятся реальностью, когда ее дочь становится следующей мишенью, и Сидни должна столкнуться с ужасами своего прошлого, чтобы раз и навсегда положить конец кровопролитию.",2
